term 8, 30000 pasos de N*N
temp	mag	en
2.049991	0.452499	-0.452499
2.039991	0.454406	-0.454406
2.029991	0.456270	-0.456270
2.019991	0.458127	-0.458127
2.009991	0.460325	-0.460325
1.999991	0.462142	-0.462142
1.989991	0.463806	-0.463806
1.979991	0.466068	-0.466068
1.969991	0.468036	-0.468036
1.959991	0.470225	-0.470225
1.949991	0.472027	-0.472027
1.939991	0.474043	-0.474043
1.929991	0.475920	-0.475920
1.919991	0.478116	-0.478116
1.909991	0.480513	-0.480513
1.899991	0.482491	-0.482491
1.889991	0.484656	-0.484656
1.879991	0.487109	-0.487109
1.869991	0.489130	-0.489130
1.859991	0.491315	-0.491315
1.849991	0.493669	-0.493669
1.839991	0.495560	-0.495560
1.829991	0.497971	-0.497971
1.819991	0.500183	-0.500183
1.809991	0.502448	-0.502448
1.799991	0.504725	-0.504725
1.789991	0.507077	-0.507077
1.779991	0.508963	-0.508963
1.769991	0.511533	-0.511533
1.759991	0.514165	-0.514165
1.749991	0.516147	-0.516147
1.739991	0.518676	-0.518676
1.729991	0.521341	-0.521341
1.719991	0.523366	-0.523366
1.709991	0.526330	-0.526330
1.699991	0.528372	-0.528372
1.689991	0.531032	-0.531032
1.679991	0.533854	-0.533854
1.669991	0.536239	-0.536239
1.659991	0.538981	-0.538981
1.649991	0.541659	-0.541659
1.639991	0.543991	-0.543991
1.629991	0.546459	-0.546459
1.619991	0.548960	-0.548960
1.609991	0.551768	-0.551768
1.599991	0.554540	-0.554540
1.589991	0.557401	-0.557401
1.579991	0.559814	-0.559814
1.569991	0.562975	-0.562975
1.559991	0.565627	-0.565627
1.549991	0.568251	-0.568251
1.539991	0.570930	-0.570930
1.529991	0.574141	-0.574141
1.519991	0.576734	-0.576734
1.509991	0.579973	-0.579973
1.499991	0.582836	-0.582836
1.489991	0.585962	-0.585962
1.479991	0.588766	-0.588766
1.469991	0.591635	-0.591635
1.459991	0.594698	-0.594698
1.449991	0.597911	-0.597911
1.439991	0.600912	-0.600912
1.429991	0.603923	-0.603923
1.419991	0.606902	-0.606902
1.409991	0.610582	-0.610582
1.399991	0.613362	-0.613362
1.389991	0.616615	-0.616615
1.379991	0.619588	-0.619588
1.369991	0.623047	-0.623047
1.359991	0.626653	-0.626653
1.349991	0.629729	-0.629729
1.339991	0.632939	-0.632939
1.329991	0.636046	-0.636046
1.319991	0.639508	-0.639508
1.309991	0.643094	-0.643094
1.299991	0.646644	-0.646644
1.289991	0.649819	-0.649819
1.279991	0.653534	-0.653534
1.269991	0.656886	-0.656886
1.259991	0.660449	-0.660449
1.249991	0.664286	-0.664286
1.239991	0.667715	-0.667715
1.229991	0.671398	-0.671398
1.219991	0.674736	-0.674736
1.209991	0.678593	-0.678593
1.199991	0.682294	-0.682294
1.189991	0.685720	-0.685720
1.179991	0.689715	-0.689715
1.169991	0.693392	-0.693392
1.159992	0.697246	-0.697246
1.149992	0.701261	-0.701261
1.139992	0.705365	-0.705365
1.129992	0.708524	-0.708524
1.119992	0.712632	-0.712632
1.109992	0.716640	-0.716640
1.099992	0.720738	-0.720738
1.089992	0.724702	-0.724702
1.079992	0.729001	-0.729001
1.069992	0.732861	-0.732861
1.059992	0.736912	-0.736912
1.049992	0.740912	-0.740912
1.039992	0.744810	-0.744810
1.029992	0.748982	-0.748982
1.019992	0.753343	-0.753343
1.009992	0.757439	-0.757439
0.999992	0.761520	-0.761520
0.989992	0.765531	-0.765531
0.979992	0.770059	-0.770059
0.969992	0.774443	-0.774443
0.959992	0.778554	-0.778554
0.949992	0.782887	-0.782887
0.939992	0.787281	-0.787281
0.929992	0.791315	-0.791315
0.919992	0.795811	-0.795811
0.909992	0.800128	-0.800128
0.899992	0.804708	-0.804708
0.889992	0.808735	-0.808735
0.879992	0.813363	-0.813363
0.869992	0.817664	-0.817664
0.859992	0.821733	-0.821733
0.849992	0.826151	-0.826151
0.839992	0.830670	-0.830670
0.829992	0.834918	-0.834918
0.819992	0.839529	-0.839529
0.809992	0.844010	-0.844010
0.799992	0.848293	-0.848293
0.789992	0.852725	-0.852725
0.779992	0.857183	-0.857183
0.769992	0.861478	-0.861478
0.759992	0.865785	-0.865785
0.749992	0.870179	-0.870179
0.739992	0.874193	-0.874193
0.729992	0.878623	-0.878623
0.719992	0.883071	-0.883071
0.709992	0.887047	-0.887047
0.699992	0.891427	-0.891427
0.689992	0.895696	-0.895696
0.679992	0.899813	-0.899813
0.669992	0.903801	-0.903801
0.659992	0.907784	-0.907784
0.649992	0.911823	-0.911823
0.639992	0.915903	-0.915903
0.629992	0.919648	-0.919648
0.619992	0.923538	-0.923538
0.609992	0.927354	-0.927354
0.599992	0.931323	-0.931323
0.589992	0.934724	-0.934724
0.579992	0.938365	-0.938365
0.569992	0.941869	-0.941869
0.559992	0.945219	-0.945219
0.549992	0.948596	-0.948596
0.539992	0.951941	-0.951941
0.529992	0.955082	-0.955082
0.519992	0.958015	-0.958015
0.509992	0.961076	-0.961076
0.499992	0.964027	-0.964027
0.489992	0.966782	-0.966782
0.479992	0.969389	-0.969389
0.469992	0.972030	-0.972030
0.459992	0.974451	-0.974451
0.449992	0.976720	-0.976720
0.439992	0.978936	-0.978936
0.429992	0.981199	-0.981199
0.419992	0.983088	-0.983088
0.409992	0.984934	-0.984934
0.399992	0.986567	-0.986567
0.389992	0.988233	-0.988233
0.379992	0.989665	-0.989665
0.369992	0.991054	-0.991054
0.359992	0.992370	-0.992370
0.349992	0.993411	-0.993411
0.339992	0.994423	-0.994423
0.329992	0.995356	-0.995356
0.319992	0.996171	-0.996171
0.309992	0.996811	-0.996811
0.299992	0.997454	-0.997454
0.289992	0.998005	-0.998005
0.279992	0.998399	-0.998399
0.269992	0.998768	-0.998768
0.259992	0.999084	-0.999084
0.249992	0.999334	-0.999334
0.239992	0.999529	-0.999529
0.229992	0.999664	-0.999664
0.219992	0.999755	-0.999755
0.209992	0.999860	-0.999860
0.199992	0.999907	-0.999907
0.189992	0.999946	-0.999946
0.179992	0.999973	-0.999973
0.169992	0.999987	-0.999987
0.159992	0.999992	-0.999992
0.149992	0.999997	-0.999997
0.139992	0.999999	-0.999999
0.129992	1.000000	-1.000000
0.119992	1.000000	-1.000000
0.109992	1.000000	-1.000000
