term 586, 20000 pasos de N*N
temp	mag	var_m	en	var_e
1.954986	0.924853	599.023682	-1.776559	2681.667725
1.949986	0.926122	587.784729	-1.779547	2641.998291
1.944986	0.927584	546.632935	-1.782631	2545.804688
1.939986	0.928976	535.742004	-1.786427	2520.901611
1.934986	0.930227	529.977173	-1.789182	2521.035645
1.929986	0.931416	498.963074	-1.792293	2447.105957
1.924986	0.932561	491.837646	-1.795001	2445.786377
1.919986	0.933746	468.359650	-1.798119	2368.130615
1.914986	0.934668	459.699219	-1.800253	2370.972900
1.909986	0.936048	449.350433	-1.803712	2325.843506
1.904986	0.937001	426.457153	-1.806125	2294.151367
1.899986	0.938416	412.456696	-1.809687	2242.295898
1.894986	0.939398	406.799103	-1.812292	2212.563965
1.889986	0.940290	401.555298	-1.814923	2177.875000
1.884986	0.941484	377.632874	-1.817842	2115.798096
1.879986	0.942510	365.881165	-1.820461	2090.539307
1.874986	0.943539	358.271240	-1.822957	2035.830811
1.869986	0.944914	343.350861	-1.826496	2030.256104
1.864986	0.945555	335.448059	-1.828300	1969.631836
1.859986	0.946501	331.021606	-1.830979	1985.716187
1.854986	0.947670	311.843079	-1.833813	1913.078125
1.849986	0.948345	309.399200	-1.835948	1897.941284
1.844986	0.949180	299.234741	-1.837982	1893.947266
1.839986	0.950297	291.922516	-1.841170	1813.380005
1.834986	0.951279	280.937714	-1.843787	1790.857910
1.829986	0.951749	272.033386	-1.845228	1768.372437
1.824986	0.952747	260.148651	-1.847695	1738.723999
1.819986	0.953554	263.955109	-1.850094	1715.513306
1.814986	0.954324	252.780411	-1.852283	1687.568604
1.809986	0.955366	238.551407	-1.855075	1663.668335
1.804986	0.956208	229.256149	-1.857417	1603.431641
1.799986	0.956938	226.022614	-1.859391	1599.351318
1.794986	0.957631	218.682678	-1.861364	1583.822388
1.789986	0.958215	215.419250	-1.863178	1547.491821
1.784986	0.959219	207.152557	-1.866066	1541.705688
1.779987	0.959812	203.949432	-1.868014	1506.764038
1.774987	0.960526	194.399323	-1.869681	1494.707642
1.769987	0.961233	187.328644	-1.872061	1448.627319
1.764987	0.962036	179.763657	-1.874164	1403.486694
1.759987	0.962825	174.543274	-1.876588	1380.513672
1.754987	0.963312	165.760010	-1.877823	1394.394287
1.749987	0.964135	156.896423	-1.880168	1357.334717
1.744987	0.964755	156.363754	-1.882070	1333.431641
1.739987	0.965258	150.209290	-1.883697	1315.533325
1.734987	0.965904	141.045166	-1.885497	1276.872559
1.729987	0.966656	136.513504	-1.887804	1246.121094
1.724987	0.967149	128.973511	-1.889344	1228.332642
1.719987	0.967689	118.359009	-1.890907	1206.693726
1.714987	0.968495	115.638695	-1.893385	1177.325195
1.709987	0.968815	112.577583	-1.894406	1181.824463
1.704987	0.969302	113.528427	-1.895840	1136.439209
1.699987	0.970001	98.879646	-1.897987	1097.187988
1.694987	0.970677	90.623291	-1.900004	1076.809937
1.689987	0.971121	82.509987	-1.901378	1082.919800
1.684987	0.971697	80.533371	-1.903211	1062.549438
1.679987	0.972186	75.366295	-1.904652	1035.142700
1.674987	0.972828	69.590019	-1.906696	982.674500
1.669987	0.973256	62.306881	-1.907987	975.502075
1.664987	0.973755	58.806717	-1.909592	952.926392
1.659987	0.974214	47.449036	-1.911052	929.202393
1.654987	0.974781	41.465813	-1.912752	910.043335
1.649987	0.975337	34.434727	-1.914531	881.724792
1.644987	0.975714	31.891737	-1.915639	868.211365
1.639987	0.976156	21.646837	-1.916995	855.039551
1.634987	0.976680	20.592846	-1.918827	839.654053
1.629987	0.977046	12.185030	-1.919872	812.609192
1.624987	0.977450	6.430561	-1.921157	780.572693
1.619987	0.977906	3.713302	-1.922755	779.156311
1.614987	0.978363	-1.918347	-1.924113	753.601685
1.609987	0.978726	-3.074418	-1.925399	740.073181
1.604987	0.979220	-13.720000	-1.926920	738.161316
